央视频道,#genre#
来宾综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226290/index.m3u8?servicetype=1
崇左综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226314/index.m3u8?servicetype=1

咪咕视频,#genre#
晴彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
晴彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
晴彩广场舞,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
咪咕视频-1,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225771/index.m3u8?servicetype=1
咪咕视频-2,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225774/index.m3u8?servicetype=1
咪咕视频-3,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225777/index.m3u8?servicetype=1
咪咕视频-4,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225780/index.m3u8?servicetype=1
咪咕视频-5,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225783/index.m3u8?servicetype=1
咪咕视频-6,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225786/index.m3u8?servicetype=1
咪咕视频-7,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225792/index.m3u8?servicetype=1
咪咕视频-8,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225793/index.m3u8?servicetype=1
咪咕视频-9,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225796/index.m3u8?servicetype=1
咪咕视频-10,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225799/index.m3u8?servicetype=1
咪咕视频-11,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225802/index.m3u8?servicetype=1
咪咕视频-12,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225805/index.m3u8?servicetype=1
咪咕视频-13,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225808/index.m3u8?servicetype=1
咪咕视频-14,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225811/index.m3u8?servicetype=1
咪咕视频-15,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225814/index.m3u8?servicetype=1
咪咕视频-16,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225817/index.m3u8?servicetype=1
咪咕视频-17,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225820/index.m3u8?servicetype=1
